condition,repeat_idx,n_segments,n_expected,cer,content_s_per_wallclock_s,jobs_per_s,wallclock_s,rss_mean_mb,rss_peak_mb,cpu_mean_pct
combo1,0,6,6,0.11805555555555555,0.7304110495539976,0.16450699314279224,36.47261362799327,755.0258413461538,755.875,49.403303404011325
combo1,1,6,6,0.11805555555555555,0.7294149720306168,0.16428265135824702,36.52242005101289,768.4867788461538,768.796875,49.73357592729352
combo1,2,6,6,0.11805555555555555,0.7297832026285705,0.16436558617760597,36.5039917389804,781.3448660714286,781.671875,49.632840226733485
combo1,3,6,6,0.11805555555555555,0.7314705136601704,0.16474561118472306,36.41978658401058,794.2633070054945,794.609375,49.1346891121412
combo1,4,6,6,0.11805555555555555,0.729441270760752,0.16428857449566486,36.521103298990056,806.3238324175824,807.203125,49.22011968421434
combo2,0,5,5,0.12857142857142856,0.724977641487056,0.1468755351472966,34.04242915599025,818.5799632352941,819.125,43.561582216798755
combo2,1,5,5,0.12857142857142856,0.7253883885385607,0.14695874970392234,34.0231528239965,830.6467830882353,830.90625,43.56180068587341
combo2,2,5,5,0.12857142857142856,0.7236937322397189,0.14661542387352489,34.10282402698067,842.5469669117647,842.859375,44.444398908289116
combo2,3,5,5,0.12857142857142856,0.7259216111664638,0.14706677697861908,33.99816126198857,854.2086397058823,854.453125,44.19499574344977
combo2,4,5,5,0.12857142857142856,0.7239780098930919,0.14667301659098297,34.089433190994896,864.93125,866.125,44.34205485756124
combo3,0,6,6,0.13541666666666666,0.7887256281356815,0.1776409072377661,33.776004037004896,877.4895525147929,878.640625,52.981149070026405
combo3,1,6,6,0.13541666666666666,0.7903319480047316,0.17800269099205665,33.7073555829993,890.3091517857143,890.75,53.0535430600483
combo3,2,6,6,0.13541666666666666,0.7899060744514668,0.17790677352510514,33.7255287199805,902.7692522321429,904.65625,52.82942647755779
combo3,3,6,6,0.13541666666666666,0.7904117785182482,0.17802067083744327,33.70395118597662,915.6770833333334,916.03125,52.95381557619565
combo3,4,6,6,0.13541666666666666,0.7904054737446781,0.17801925084339598,33.70422002999112,927.276599702381,928.84375,53.06555951142941
combo4,0,6,6,0.1111111111111111,0.8051488251912248,0.16311767122998883,36.78326176898554,939.2734375,939.53125,47.022151669415734
combo4,1,6,6,0.1111111111111111,0.804740533449548,0.16303495410242058,36.80192405998241,951.4009001358696,951.625,48.03122235692923
combo4,2,6,6,0.1111111111111111,0.8028423744465527,0.16265040000943126,36.88893479297985,962.4987262228261,962.703125,47.33555365805542
combo4,3,6,6,0.1111111111111111,0.8033996813483193,0.16276330659406793,36.86334546498256,974.2909307065217,974.53125,47.835104499840575
combo4,4,6,6,0.1111111111111111,0.8047393131737808,0.1630347068828567,36.801979865005706,984.6449558423913,984.84375,47.338422507696535
combo5,0,5,8,0.41964285714285715,0.4703481200466294,0.07936489606618341,63.00014550299966,999.5145800159236,1006.34375,36.421677598544385
combo5,1,5,8,0.41964285714285715,0.4703480717576261,0.07936488791806595,63.000151971005835,1010.1920138888889,1016.921875,36.01979308949995
combo5,2,5,8,0.41964285714285715,0.4703482309665112,0.07936491478241617,63.000130645988975,1021.4254578025477,1027.75,36.568974527827535
combo5,3,5,8,0.41964285714285715,0.4703481146114842,0.07936489514907602,63.00014623100287,1033.5907242063493,1040.328125,36.30654768254529
combo5,4,5,8,0.41964285714285715,0.4703482135112001,0.07936491183706805,63.00013298401609,1044.4722718253968,1050.96875,36.50577605956219
