condition,repeat_idx,n_segments,n_expected,cer,content_s_per_wallclock_s,jobs_per_s,wallclock_s,rss_mean_mb,rss_peak_mb,cpu_mean_pct
extreme,0,8,8,0.0,0.827759435207049,0.24403285236056868,32.78247138700681,753.4860899390244,754.09375,43.23435994692314
extreme,1,8,8,0.0,0.827978048198418,0.24409730194528836,32.77381575398613,765.7806783536586,765.8125,43.20289251190181
extreme,2,8,8,0.0,0.8271468560560727,0.24385225709200256,32.806749855022645,778.5573551829268,778.90625,43.295891988385605
extreme,3,8,8,0.0,0.8271232647988604,0.24384530212230557,32.807685571024194,790.420350609756,790.4375,42.91376106127744
extreme,4,8,8,0.0,0.8281892282636257,0.2441595602192293,32.765458754991414,803.0305789877301,803.140625,42.84064204774143
high,0,8,8,0.0,0.7702712868298601,0.22708469540974652,35.229146489000414,814.9478870738636,814.96875,40.25871978596652
high,1,8,8,0.0,0.7693165604754388,0.22680323127224022,35.272866065992275,827.0436789772727,827.140625,40.53647389936725
high,2,8,8,0.0,0.7696689810269695,0.22690712884049807,35.256715119001456,838.8973721590909,838.9375,40.7755352735367
high,3,8,8,0.0,0.7697926235115554,0.22694358004468027,35.25105225900188,850.0661399147727,850.375,40.25743874774327
high,4,8,8,0.0,0.7709439376187139,0.2272830004772152,35.19840895800735,862.0854936079545,862.125,40.45980154371936
medium,0,6,6,0.01282051282051282,0.5592156287454045,0.1648630980971122,36.39383263600757,873.4483173076923,873.78125,30.074076266059485
medium,1,6,6,0.01282051282051282,0.559987544736614,0.16509066766999236,36.34366548201069,886.7555248618785,887.25,30.02438186984727
medium,2,6,6,0.01282051282051282,0.5591376815458209,0.1648401183802538,36.39890615802142,899.5006009615385,899.90625,29.94619350372263
medium,3,6,6,0.01282051282051282,0.5592209639568163,0.164864670977835,36.39348542300286,910.9248798076923,911.328125,29.8904388345526
medium,4,6,6,0.01282051282051282,0.5592232363307266,0.16486534089938873,36.39333754000836,923.2600446428571,923.4375,30.06843184889082
low,0,3,3,0.0,0.28897300156329736,0.08519251225333059,35.21436239700415,934.9220525568181,935.0,16.24530659257525
low,1,3,3,0.0,0.28896777767154513,0.08519097219090363,35.214998993993504,946.3588423295455,946.453125,16.472244338252793
low,2,3,3,0.0,0.28938560431280375,0.08531415221485959,35.1641541539866,958.1925603693181,958.21875,16.758065017544688
low,3,3,3,0.0,0.2893897122064785,0.08531536326841938,35.16365499800304,969.4944069602273,970.09375,16.813406067727048
low,4,3,3,0.0,0.28897956299132344,0.08519444663659298,35.213562836986966,981.7007279829545,982.171875,16.75973845503421
