condition,repeat_idx,n_segments,n_expected,cer,content_s_per_wallclock_s,jobs_per_s,wallclock_s,rss_mean_mb,rss_peak_mb,cpu_mean_pct
2s,0,9,9,0.13675213675213677,0.5429528437171636,0.2781520715764157,32.356401118973736,753.0976080246913,754.359375,19.916560030288327
2s,1,9,9,0.13675213675213677,0.5273372488596846,0.27015227912893675,33.314544037973974,766.0986445783133,766.125,19.262325872978806
2s,2,9,9,0.13675213675213677,0.5273528518631636,0.270160272470883,33.31355834699934,777.8741528614457,777.890625,19.087409430696873
2s,3,9,9,0.13675213675213677,0.5281410490021382,0.2705640619888003,33.26384122800664,789.531626506024,789.84375,18.823275520805822
2s,4,9,9,0.13675213675213677,0.5281424282698105,0.2705647685808455,33.263754357991274,801.3064759036145,801.34375,19.148075492855014
4s,0,4,4,0.06666666666666667,0.5217222097374301,0.12939538931979913,30.91300254999078,813.0790381493506,813.875,27.7408306085098
4s,1,4,4,0.06666666666666667,0.52170364930412,0.1293907860377282,30.914102328999434,826.5697037337662,827.03125,27.96002221335961
4s,2,4,4,0.06666666666666667,0.5217171084433829,0.12939412411790252,30.913304814021103,839.2010957792207,839.6875,28.259341751748696
4s,3,4,4,0.06666666666666667,0.5225601044271982,0.12960320050277735,30.86343535099877,850.7017045454545,851.4375,28.06355803273982
4s,4,4,4,0.06666666666666667,0.5217037800924791,0.12939081847531722,30.91409457899863,864.0764001623377,865.515625,27.90379293978165
7s,0,3,2,0.07142857142857142,0.5154531571620606,0.10433570416882679,28.753340229013702,876.9494357638889,877.921875,22.429358799783135
7s,1,3,2,0.07142857142857142,0.5154401039702656,0.10433306200059354,28.75406838901108,888.9724392361111,890.453125,22.724952141886398
7s,2,3,2,0.07142857142857142,0.5154633120795169,0.10433775968143519,28.75277377202292,900.6290147569445,902.109375,22.524527574180073
7s,3,3,2,0.07142857142857142,0.5154479707088356,0.10433465435034794,28.75362954600132,912.3411458333334,913.484375,22.384556636175326
7s,4,3,2,0.07142857142857142,0.5154418263062186,0.10433341062807205,28.753972308011726,925.2075737847222,927.171875,22.527342870728088
