experiment,elapsed_s,queue_depth,cpu_percent,cpu_freq_mhz,cpu_temp_c,rss_mb
exp2_0.75x,0.5006197319889907,0,99.8132661478128,2800.0,49.6,346.53125
exp2_0.75x,1.0027647689857986,0,99.606164598603,2800.0,47.95,323.71875
exp2_0.75x,1.5034452620020602,0,99.86495422152211,2800.0,48.5,324.015625
exp2_0.75x,2.0041505709814373,0,101.85444002164267,2800.0,48.5,325.296875
exp2_0.75x,2.5048307699908037,0,99.84019737600055,2800.0,48.5,325.703125
exp2_0.75x,3.0059806339850184,0,99.79366123854665,2800.0,47.95,326.5
exp2_0.75x,3.506672224000795,0,99.86244188581485,2800.0,47.95,327.0625
exp2_0.75x,4.007489850977436,0,99.84105344240857,2800.0,49.05,327.875
exp2_0.75x,4.511410048988182,0,101.2059468397927,2800.0,49.05,329.0
exp2_0.75x,5.012180808989797,0,101.83789301785463,2800.0,50.15,329.859375
exp2_0.75x,5.513114086992573,0,99.81513857366198,2800.0,49.05,330.484375
exp2_0.75x,6.0138734039792325,0,99.85326682036514,2800.0,49.05,331.15625
exp2_0.75x,6.514492204994895,0,99.87444942571886,2800.0,49.05,331.921875
exp2_0.75x,7.01516080298461,0,99.86252904441086,2800.0,50.15,332.8125
exp2_0.75x,7.516046048986027,0,39.93649314893777,2800.0,47.95,326.8125
exp2_0.75x,8.016488149994984,0,0.0,2800.0,46.85,326.8125
exp2_0.75x,8.51702591998037,0,0.0,2800.0,46.3,326.8125
exp2_0.75x,9.017508800985524,0,0.0,2800.0,47.4,326.8125
exp2_0.75x,9.518021534982836,0,0.0,2800.0,47.4,326.8125
exp2_0.75x,10.018438197002979,0,0.0,2800.0,46.85,326.8125
exp2_0.75x,10.518927526980406,0,0.0,2800.0,46.3,326.8125
exp2_0.75x,11.019362078979611,0,0.0,2800.0,46.3,326.8125
exp2_0.75x,11.519894261989975,0,0.0,2800.0,45.75,326.8125
exp2_0.75x,12.020375094987685,0,0.0,2800.0,46.3,326.8125
exp2_0.75x,12.520868224994047,0,0.0,2800.0,46.85,326.8125
exp2_0.75x,13.02124274498783,0,0.0,2800.0,46.85,326.8125
exp2_0.75x,13.521773802989628,0,1.9977644934635863,1500.0,45.2,326.8125
exp2_0.75x,14.022523341001943,0,0.0,1500.0,45.75,326.8125
exp2_0.75x,14.5232631029794,0,0.0,1500.0,45.2,326.8125
exp2_0.75x,15.024019457981922,0,0.0,1500.0,46.3,326.8125
exp2_0.75x,15.524740908003878,0,0.0,1500.0,44.1,326.8125
exp2_0.75x,16.025495134992525,0,0.0,1500.0,44.65,326.8125
exp2_0.75x,16.526236345991492,0,0.0,1500.0,45.2,326.8125
exp2_0.75x,17.02698500198312,0,0.0,1500.0,45.75,326.8125
exp2_0.75x,17.527721214981284,0,0.0,2800.0,44.65,326.8125
exp2_0.75x,18.028239818988368,0,0.0,2800.0,44.65,326.8125
exp2_0.75x,18.528744665003615,0,0.0,2800.0,46.3,326.8125
exp2_0.75x,19.02922119697905,0,0.0,2800.0,44.65,326.8125
exp2_0.75x,19.52972313898499,0,0.0,2800.0,45.2,326.8125
exp2_0.75x,20.030242579989135,0,0.0,2800.0,45.2,326.8125
exp2_0.75x,20.530741615977604,0,0.0,2800.0,45.75,326.8125
exp2_0.75x,21.03122589297709,0,0.0,2800.0,45.75,326.8125
exp2_0.75x,21.531728190981084,0,1.997952685898772,2800.0,45.2,326.8125
exp2_0.75x,22.032255228987196,0,0.0,2800.0,46.3,326.8125
exp2_0.75x,22.532762805989478,0,0.0,1500.0,44.1,326.8125
exp2_0.75x,23.033351734979078,0,0.0,1500.0,44.1,326.8125
exp2_0.75x,23.534116830996936,0,89.860256701533,2800.0,48.5,374.703125
exp2_0.75x,24.0347872239945,0,101.86283903603437,2800.0,49.05,333.734375
exp2_0.75x,24.53557287697913,0,99.81499011849085,2800.0,47.4,333.734375
exp2_0.75x,25.036772675986867,0,99.78931083647564,2800.0,47.4,333.75
exp2_0.75x,25.53754705400206,0,99.84108115409113,2800.0,47.95,333.75
exp2_0.75x,26.038393783994252,0,99.83330274751006,2800.0,48.5,333.75
exp2_0.75x,26.539073405001545,0,99.86273108576141,2800.0,47.4,333.75
exp2_0.75x,27.03979521099245,0,101.85751824110027,2800.0,49.05,333.75
exp2_0.75x,27.540511241997592,0,99.85622680499684,2800.0,48.5,333.75
exp2_0.75x,28.04121530998964,0,99.83504794219003,2800.0,49.05,333.75
exp2_0.75x,28.54236706197844,0,99.78623711993369,2800.0,48.5,333.75
exp2_0.75x,29.043136464984855,0,99.85716431728014,2800.0,48.5,333.75
exp2_0.75x,29.543772999983048,0,101.86060233666839,2800.0,47.95,333.75
exp2_0.75x,30.044690884999,0,99.81174108535753,2800.0,49.6,333.75
exp2_0.75x,30.545482346991776,0,51.93147734783867,2800.0,46.85,328.828125
exp2_0.75x,31.045930108986795,0,0.0,2800.0,47.4,328.828125
exp2_0.75x,31.54642533400329,0,0.0,2800.0,47.4,328.828125
exp2_0.75x,32.04684730200097,0,0.0,2800.0,45.75,328.828125
exp2_0.75x,32.54735989999608,0,0.0,2800.0,46.85,328.828125
exp2_0.75x,33.04785484998138,0,0.0,2800.0,46.85,328.828125
exp2_0.75x,33.54836822798825,0,0.0,1500.0,45.75,328.828125
exp2_0.75x,34.0490597349999,0,0.0,1500.0,46.3,328.828125
exp2_0.75x,34.54980366799282,0,0.0,1500.0,44.65,328.828125
exp2_0.75x,35.050518103002105,0,0.0,1500.0,45.2,328.828125
exp2_0.75x,35.55123566798284,0,0.0,1500.0,44.1,328.828125
exp2_0.75x,36.051971659995615,0,0.0,2800.0,45.2,328.828125
exp2_0.75x,36.55249054398155,0,0.0,2800.0,46.3,328.828125
exp2_0.75x,37.05293909498141,0,0.0,2800.0,45.2,328.828125
exp2_0.75x,37.55343522198382,0,0.0,2800.0,46.3,328.828125
exp2_0.75x,38.05385859098169,0,0.0,2800.0,44.65,328.828125
exp2_0.75x,38.55437920099939,0,0.0,2800.0,46.3,328.828125
exp2_0.75x,39.05489351498545,0,0.0,2800.0,45.75,328.828125
exp2_0.75x,39.55539060899173,0,0.0,2800.0,45.2,328.828125
exp2_0.75x,40.05581718598842,0,0.0,2800.0,45.75,328.828125
exp2_0.75x,40.55633341099019,0,0.0,2800.0,45.2,328.828125
exp2_0.75x,41.056749101000605,0,0.0,1500.0,45.2,328.828125
exp2_0.75x,41.55748652998591,0,0.0,1500.0,45.2,328.828125
exp2_0.75x,42.058230255992385,0,0.0,2000.0,45.2,328.828125
exp2_0.75x,42.5588897439884,0,0.0,1500.0,45.2,328.828125
exp2_0.75x,43.059510566003155,0,0.0,1500.0,44.65,328.828125
exp2_0.75x,43.56027344398899,0,0.0,1500.0,44.65,328.828125
exp2_0.75x,44.06096371100284,0,0.0,2100.0,45.75,328.828125
exp2_0.75x,44.56159848099924,0,0.0,1500.0,45.2,328.828125
exp2_0.75x,45.06234799098456,0,1.9970466236075166,1500.0,45.2,328.828125
exp2_0.75x,45.563074762001634,0,0.0,1500.0,43.55,328.828125
exp2_0.75x,46.063828885002295,0,0.0,1500.0,43.55,328.828125
exp2_0.75x,46.56464832398342,0,81.85916376706285,2800.0,48.5,374.796875
exp2_0.75x,47.06549730099505,0,99.81867857073271,2800.0,46.85,333.828125
exp2_0.75x,47.56628894599271,0,99.85906969346789,2800.0,46.85,333.828125
exp2_0.75x,48.066958572977455,0,99.86673383357497,2800.0,46.85,333.828125
exp2_0.75x,48.56764996200218,0,99.86057626396091,2800.0,47.4,333.828125
exp2_0.75x,49.068353849987034,0,99.86401855986382,2800.0,47.4,333.828125
exp2_0.75x,49.56911255497835,0,99.84478170124639,2800.0,48.5,333.828125
exp2_0.75x,50.06989805700141,0,99.82271107480712,2800.0,46.85,333.828125
exp2_0.75x,50.57115640799748,0,99.76953237913008,2800.0,48.5,333.828125
exp2_0.75x,51.07191576299374,0,99.85186715666399,2800.0,46.85,333.828125
exp2_0.75x,51.57567733898759,0,99.2528391177831,2800.0,46.85,333.828125
exp2_0.75x,52.07631045600283,0,99.87235075227012,2800.0,47.95,333.828125
exp2_0.75x,52.57698066800367,0,99.86891865116603,2800.0,49.05,333.828125
exp2_0.75x,53.07762463900144,0,99.86687944717917,2800.0,49.6,333.828125
exp2_0.75x,53.57829535199562,0,79.90739755141267,2800.0,47.95,328.84375
exp2_0.75x,54.07872717900318,0,0.0,2800.0,47.4,328.84375
exp2_0.75x,54.57920358100091,0,0.0,2800.0,45.75,328.84375
exp2_0.75x,55.07972079797764,0,0.0,2800.0,46.85,328.84375
exp2_0.75x,55.580238997994456,0,0.0,2800.0,46.85,328.84375
exp2_0.75x,56.080687384004705,0,0.0,2800.0,45.75,328.84375
exp2_0.75x,56.581200992979575,0,0.0,1700.0,46.3,328.84375
exp2_0.75x,57.08187724999152,0,0.0,2800.0,46.3,328.84375
exp2_0.75x,57.582395971985534,0,0.0,2800.0,45.2,328.84375
