condition,repeat_idx,n_segments,n_expected,cer,content_s_per_wallclock_s,jobs_per_s,wallclock_s,rss_mean_mb,rss_peak_mb,cpu_mean_pct
0.5x,0,3,3,0.11538461538461539,0.5370106041276964,0.07906516550761136,37.94338481099112,755.6555098684211,756.65625,17.139481917071073
0.5x,1,3,3,0.11538461538461539,0.5363024129699258,0.07896089708037776,37.99348932100111,768.7080592105264,769.84375,16.767764705525206
0.5x,2,3,3,0.11538461538461539,0.5360170161327035,0.07891887752248283,38.01371857000049,780.1230263157895,780.71875,16.9954683553277
0.5x,3,3,3,0.11538461538461539,0.536300154589677,0.07896056457445184,37.993649313022615,790.884375,791.4375,17.10193788171315
0.5x,4,3,3,0.11538461538461539,0.5369964065243221,0.07906307516553623,37.944387992989505,803.0327302631579,803.609375,18.801251791899972
1x,0,5,5,0.0,0.5248616361233283,0.15473515215900008,32.31327807699563,812.9989324534162,813.03125,28.481545448491243
1x,1,5,5,0.0,0.5256710451440348,0.15497377510142535,32.263523275003536,825.8867430124224,825.921875,28.43107401489581
1x,2,5,5,0.0,0.5248564137552193,0.15473361254576037,32.3135995969933,837.7619371118012,837.78125,28.399034548289087
1x,3,5,5,0.0,0.5248455001827913,0.15473039510105874,32.31427152198739,850.2228260869565,850.296875,28.335062874783862
1x,4,5,5,0.0,0.524869555278133,0.15473748681548732,32.31279053899925,862.2074922360248,863.46875,28.73766620361105
1.5x,0,8,8,0.038461538461538464,0.5290736692264304,0.23368978322722192,34.23341786500532,875.4671052631579,875.90625,38.903160687681684
1.5x,1,8,8,0.038461538461538464,0.5290641470073725,0.2336855773000762,34.23403400598909,887.641081871345,887.65625,38.716868734544114
1.5x,2,8,8,0.038461538461538464,0.5297367424999991,0.23398266011484065,34.190567779995035,900.0027412280701,900.40625,38.701725035112695
1.5x,3,8,8,0.038461538461538464,0.529829728211675,0.23402373154225925,34.18456729699392,911.6188779239766,912.953125,38.385866159955896
1.5x,4,8,8,0.038461538461538464,0.5298428884602,0.23402954437287984,34.18371822001063,924.3665935672515,924.390625,38.53413002876971
2x,0,11,11,0.2517482517482518,0.5317509309751661,0.3135323885466782,35.08409466399462,934.9549107142857,935.609375,48.21779624216795
2x,1,11,11,0.2517482517482518,0.5309927026085042,0.31308531993425953,35.13419282101677,946.2474107142857,946.40625,48.10618231383536
2x,2,11,11,0.2517482517482518,0.5309950104159783,0.31308668066979856,35.134040120989084,958.2883035714286,958.8125,48.33731540093918
2x,3,11,11,0.2517482517482518,0.5309941930990452,0.31308619876122945,35.13409420000971,971.01625,971.375,47.89983055112657
2x,4,11,11,0.2517482517482518,0.5309856750896911,0.3130811763500537,35.13465781699051,982.4404464285715,982.59375,48.25442826537223
3x,0,11,16,0.8653846153846154,0.28647553795300384,0.174602776899548,63.00014349902631,993.2407242063492,993.453125,18.479928964002255
3x,1,11,16,0.8653846153846154,0.2864755261076432,0.1746027696799687,63.00014610399376,1004.8815972222222,1004.90625,18.79400084494871
3x,2,11,16,0.8653846153846154,0.28647546002292007,0.17460272940226734,63.000160636991495,1016.4835290605096,1016.5,18.675803528713985
3x,3,11,16,0.8653846153846154,0.2864755868312394,0.1746028066901393,63.00013274999219,1026.689732142857,1026.703125,18.231969551137883
3x,4,11,16,0.8653846153846154,0.28647554832077216,0.17460278321855574,63.000141219003126,1037.649830812102,1038.3125,18.635665310459654
