condition,repeat_idx,order,segment_id,duration_s,chars,text,full_latency_ms,stt_latency_ms
0.5x,0,0,rx-1789019888.289-2,6.400141954421997,35,네 주변 사람들이 말리고 있지만 그래서 몸싸움을 하고 있습니다.,1732.9509258270264,1703.8092959846836
0.5x,0,1,rx-1789019899.617-3,6.4000749588012695,33,네. 주변 사람들의 말리고 있지만 계속 몸싸움을 하고 있습니,1706.2504291534424,1685.2016460034065
0.5x,0,2,rx-1789019910.914-4,6.400054216384888,33,네. 주변 사람들이 말리고 있지만 계속 몸싸움을 하고 있습니,1764.6238803863525,1738.834860996576
0.5x,1,0,rx-1789019941.227-2,6.3999059200286865,35,네 주변 사람들이 말리고 있지만 그래서 몸싸움을 하고 있습니다.,1740.7021522521973,1711.5789350064006
0.5x,1,1,rx-1789019952.556-3,6.399909496307373,33,네. 주변 사람들의 말리고 있지만 계속 몸싸움을 하고 있습니,1725.6646156311035,1704.033841000637
0.5x,1,2,rx-1789019963.851-4,6.400001525878906,33,네. 주변 사람들이 말리고 있지만 계속 몸싸움을 하고 있습니,1715.3170108795166,1690.0975929747801
0.5x,2,0,rx-1789019994.330-2,6.399970054626465,35,네 주변 사람들이 말리고 있지만 그래서 몸싸움을 하고 있습니다.,1734.5914840698242,1705.5385679996107
0.5x,2,1,rx-1789020005.658-3,6.399881839752197,33,네. 주변 사람들의 말리고 있지만 계속 몸싸움을 하고 있습니,1741.0893440246582,1719.9090879876167
0.5x,2,2,rx-1789020016.954-4,6.400273561477661,33,네. 주변 사람들이 말리고 있지만 계속 몸싸움을 하고 있습니,1727.0097732543945,1702.18669300084
0.5x,3,0,rx-1789020047.461-2,6.40010929107666,35,네 주변 사람들이 말리고 있지만 그래서 몸싸움을 하고 있습니다.,1716.7785167694092,1687.724019982852
0.5x,3,1,rx-1789020058.789-3,6.400005102157593,33,네. 주변 사람들의 말리고 있지만 계속 몸싸움을 하고 있습니,1735.3711128234863,1714.2372569942381
